Start (s),End (s),Scientific name,Common name,Confidence
0,3.0,Sturnus unicolor,Spotless Starling,0.9270
3.0,6.0,Sturnus unicolor,Spotless Starling,0.6626
12.0,15.0,Sturnus unicolor,Spotless Starling,0.8180
15.0,18.0,Sturnus unicolor,Spotless Starling,0.8436
21.0,24.0,Sturnus unicolor,Spotless Starling,0.5507
24.0,27.0,Sturnus unicolor,Spotless Starling,0.9478
27.0,30.0,Sturnus unicolor,Spotless Starling,0.9939
27.0,30.0,Sturnus vulgaris,European Starling,0.5780
36.0,39.0,Sturnus unicolor,Spotless Starling,0.8292
36.0,39.0,Sturnus vulgaris,European Starling,0.5057
39.0,42.0,Sturnus unicolor,Spotless Starling,0.9081
45.0,48.0,Sturnus unicolor,Spotless Starling,0.9483
45.0,48.0,Sturnus vulgaris,European Starling,0.5307
48.0,51.0,Sturnus unicolor,Spotless Starling,0.9071
51.0,54.0,Sturnus unicolor,Spotless Starling,0.9498
51.0,54.0,Sturnus vulgaris,European Starling,0.5326
