Start (s),End (s),Scientific name,Common name,Confidence
3.0,6.0,Ciconia ciconia,White Stork,0.6273
15.0,18.0,Sturnus unicolor,Spotless Starling,0.5187
21.0,24.0,Sturnus vulgaris,European Starling,0.5691
30.0,33.0,Sturnus unicolor,Spotless Starling,0.8669
30.0,33.0,Sturnus vulgaris,European Starling,0.7094
33.0,36.0,Sturnus unicolor,Spotless Starling,0.8542
33.0,36.0,Sturnus vulgaris,European Starling,0.6970
36.0,39.0,Sturnus unicolor,Spotless Starling,0.9704
39.0,42.0,Sturnus unicolor,Spotless Starling,0.5176
42.0,45.0,Sturnus vulgaris,European Starling,0.7351
42.0,45.0,Sturnus unicolor,Spotless Starling,0.6948
48.0,51.0,Sturnus vulgaris,European Starling,0.6553
48.0,51.0,Sturnus unicolor,Spotless Starling,0.6542
54.0,57.0,Sturnus unicolor,Spotless Starling,0.9812
54.0,57.0,Sturnus vulgaris,European Starling,0.5195
57.0,60.0,Sturnus unicolor,Spotless Starling,0.8381
