Start (s),End (s),Scientific name,Common name,Confidence
0,3.0,Sturnus unicolor,Spotless Starling,0.9093
0,3.0,Sturnus vulgaris,European Starling,0.7310
3.0,6.0,Sturnus unicolor,Spotless Starling,0.9622
3.0,6.0,Sturnus vulgaris,European Starling,0.6555
15.0,18.0,Sturnus unicolor,Spotless Starling,0.7785
18.0,21.0,Sturnus unicolor,Spotless Starling,0.7171
24.0,27.0,Actitis hypoleucos,Common Sandpiper,0.8000
30.0,33.0,Sturnus unicolor,Spotless Starling,0.9042
36.0,39.0,Sturnus unicolor,Spotless Starling,0.8760
36.0,39.0,Sturnus vulgaris,European Starling,0.7990
39.0,42.0,Sturnus unicolor,Spotless Starling,0.9935
39.0,42.0,Sturnus vulgaris,European Starling,0.6438
48.0,51.0,Sturnus unicolor,Spotless Starling,0.8777
57.0,60.0,Ciconia ciconia,White Stork,0.6193
